EnglishProductName,ProductKey,NumberOfSold,UnitPrice,AmountSold
"Mountain-300 Black, 44",366,0,NULL,NULL
Paint - Blue,174,0,NULL,NULL
Hex Nut 4,74,0,NULL,NULL
Lock Nut 2,131,0,NULL,NULL
"ML Mountain Frame-W - Silver, 42",512,0,NULL,NULL
Metal Bar 2,157,0,NULL,NULL
"LL Touring Frame - Yellow, 44",506,0,NULL,NULL
Lock Nut 4,137,0,NULL,NULL
HL Crankarm,8,0,NULL,NULL
Thin-Jam Hex Nut 8,51,0,NULL,NULL
"HL Mountain Frame - Black, 48",300,0,NULL,NULL
Lock Washer 2,151,0,NULL,NULL
ML Touring Seat Assembly,194,0,NULL,NULL
Spokes,200,0,NULL,NULL
"HL Road Frame - Black, 52",443,0,NULL,NULL
"HL Mountain Frame - Silver, 38",309,0,NULL,NULL
"LL Road Frame - Black, 52",286,0,NULL,NULL
"LL Road Frame - Red, 44",263,0,NULL,NULL
Lock Ring,140,0,NULL,NULL
Metal Sheet 7,163,0,NULL,NULL
Touring Rim,186,0,NULL,NULL
"ML Road Frame-W - Yellow, 42",432,0,NULL,NULL
"Men's Sports Shorts, XL",455,0,NULL,NULL
Handlebar Tube,77,0,NULL,NULL
"ML Mountain Frame - Black, 38",409,0,NULL,NULL
Mountain End Caps,17,0,NULL,NULL
AWC Logo Cap,223,0,NULL,NULL
"LL Road Frame - Red, 58",269,0,NULL,NULL
LL Road Seat/Saddle,518,0,NULL,NULL
Lock Nut 9,123,0,NULL,NULL
Hex Nut 9,60,0,NULL,NULL
"Long-Sleeve Logo Jersey, S",226,0,NULL,NULL
HL Crankset,558,0,NULL,NULL
External Lock Washer 4,83,0,NULL,NULL
HL Road Front Wheel,415,0,NULL,NULL
Seat Post,203,0,NULL,NULL
Guide Pulley,34,0,NULL,NULL
Thin-Jam Hex Nut 1,40,0,NULL,NULL
LL Road Rim,183,0,NULL,NULL
LL Bottom Bracket,601,0,NULL,NULL
Metal Plate 3,160,0,NULL,NULL
Thin-Jam Lock Nut 1,103,0,NULL,NULL
"HL Mountain Frame - Silver, 42",289,0,NULL,NULL
ML Headset,395,0,NULL,NULL
"HL Touring Frame - Yellow, 50",495,0,NULL,NULL
Internal Lock Washer 10,97,0,NULL,NULL
"HL Road Frame - Red, 48",246,0,NULL,NULL
Lock Washer 5,143,0,NULL,NULL
Lock Nut 17,120,0,NULL,NULL
Headlights - Weatherproof,452,0,NULL,NULL
Metal Sheet 6,166,0,NULL,NULL
"HL Touring Frame - Blue, 50",498,0,NULL,NULL
"HL Mountain Frame - Black, 38",306,0,NULL,NULL
Fork End,20,0,NULL,NULL
"LL Road Frame - Red, 52",266,0,NULL,NULL
HL Hub,80,0,NULL,NULL
HL Mountain Front Wheel,412,0,NULL,NULL
LL Mountain Seat/Saddle,515,0,NULL,NULL
ML Fork,392,0,NULL,NULL
"HL Road Frame - Red, 52",249,0,NULL,NULL
LL Mountain Rim,180,0,NULL,NULL
Hex Nut 17,57,0,NULL,NULL
Front Brakes,555,0,NULL,NULL
Seat Tube,206,0,NULL,NULL
Decal 1,14,0,NULL,NULL
HL Grip Tape,37,0,NULL,NULL
"HL Road Frame - Red, 44",243,0,NULL,NULL
"ML Road Frame-W - Yellow, 48",435,0,NULL,NULL
Internal Lock Washer 2,100,0,NULL,NULL
"HL Touring Frame - Yellow, 60",492,0,NULL,NULL
